,percent,Provider,GCsize
0,0,Tim,1.0
1,10,Tim,1.0
2,20,Tim,1.0
3,30,Tim,1.0
4,40,Tim,1.0
5,50,Tim,1.0
6,60,Tim,1.0
7,70,Tim,1.0
8,80,Tim,1.0
9,90,Tim,0.970930232558
10,0,Vodafone,1.0
11,10,Vodafone,1.0
12,20,Vodafone,1.0
13,30,Vodafone,1.0
14,40,Vodafone,1.0
15,50,Vodafone,0.984108967083
16,60,Vodafone,0.984352773826
17,70,Vodafone,0.933333333333
18,80,Vodafone,0.844380403458
19,90,Vodafone,0.331360946746
20,0,Wind,1.0
21,10,Wind,1.0
22,20,Wind,1.0
23,30,Wind,1.0
24,40,Wind,1.0
25,50,Wind,1.0
26,60,Wind,1.0
27,70,Wind,1.0
28,80,Wind,0.982942430704
29,90,Wind,0.879310344828
30,0,Tre,1.0
31,10,Tre,1.0
32,20,Tre,1.0
33,30,Tre,0.990769230769
34,40,Tre,0.989221556886
35,50,Tre,0.985611510791
36,60,Tre,0.981981981982
37,70,Tre,0.971084337349
38,80,Tre,0.883636363636
39,90,Tre,0.451851851852
