relativeGiantClusterSize,diameter,percentuale
1.0,3,0
0.998680738786,9,1
0.982011992005,12,2
0.979138627187,14,3
0.960544217687,17,4
0.958762886598,17,5
0.95625,19,6
0.943117977528,22,7
0.936834634493,24,8
0.928981348637,25,9
0.913642960813,28,10
0.906823184153,31,11
0.903560830861,32,12
0.899399399399,36,13
0.888382687927,38,14
0.678187403994,32,15
0.677544677545,35,16
0.613690007868,34,17
0.394904458599,19,18
0.3964544722,19,19
0.391836734694,18,20
0.394214876033,18,21
0.397489539749,18,22
0.391009329941,19,23
0.395189003436,19,24
0.389904264578,22,25
0.388349514563,24,26
0.389982110912,25,27
0.393472348141,25,28
0.267463235294,19,29
0.262126865672,20,30
0.245033112583,19,31
0.225527831094,19,32
0.172514619883,18,33
0.173095944609,18,34
0.175702811245,18,35
0.0938775510204,13,36
0.0911917098446,13,37
0.0810526315789,8,38
0.0824411134904,8,39
0.0837867247008,8,40
0.0829646017699,7,41
0.0822072072072,8,42
0.0836197021764,8,43
0.0839160839161,8,44
0.085409252669,8,45
0.087061668682,8,46
0.0886699507389,8,47
0.090338770389,8,48
0.0921895006402,8,49
0.0939947780679,8,50
0.0945406125166,8,51
0.0952380952381,8,52
0.0972222222222,8,53
0.0780141843972,7,54
0.0798258345428,7,55
0.0816023738872,7,56
0.0819423368741,12,57
0.083850931677,12,58
0.0859872611465,12,59
0.0880913539967,12,60
0.0903010033445,12,61
0.0927835051546,12,62
0.0952380952381,12,63
0.0978260869565,12,64
0.100746268657,12,65
0.0998080614203,12,66
0.102766798419,12,67
0.104081632653,13,68
0.107368421053,13,69
0.110869565217,13,70
0.11036036036,15,71
0.111888111888,16,72
0.115942028986,16,73
0.12030075188,16,74
0.1227154047,16,75
0.125,16,76
0.127478753541,16,77
0.0771513353116,10,78
0.0683229813665,8,79
0.071661237785,8,80
0.0756013745704,8,81
0.0760869565217,8,82
0.0498084291188,4,83
0.0530612244898,4,84
0.0565217391304,4,85
0.0604651162791,4,86
0.03,2,87
0.0326086956522,2,88
0.0355029585799,2,89
0.038961038961,2,90
0.036231884058,2,91
0.0406504065041,2,92
0.0462962962963,2,93
0.0434782608696,2,94
0.0519480519481,2,95
0.0645161290323,2,96
0.0434782608696,1,97
0.0645161290323,1,98
0.125,1,99
0.0,0,100
